"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2023","121.880","122.820","122.940","121.780","587.10K","-0.62%"
"05/26/2023","122.640","121.240","122.840","120.580","1.30M","1.52%"
"05/25/2023","120.800","120.920","121.160","119.860","1.20M","0.48%"
"05/24/2023","120.220","120.900","121.380","119.720","1.39M","-1.31%"
"05/23/2023","121.820","123.680","123.840","121.700","1.58M","-1.52%"
"05/22/2023","123.700","124.080","124.740","123.360","1.19M","-0.63%"
"05/19/2023","124.480","124.740","125.100","123.800","2.40M","0.35%"
"05/18/2023","124.040","122.100","124.120","122.100","1.30M","1.39%"
"05/17/2023","122.340","122.000","123.660","121.200","1.81M","0.84%"
"05/16/2023","121.320","120.300","121.440","120.080","1.26M","0.81%"
"05/15/2023","120.340","120.880","121.320","118.960","1.54M","-0.78%"
"05/12/2023","121.280","121.000","121.740","120.760","1.34M","-0.83%"
"05/11/2023","122.300","123.000","124.060","121.740","1.61M","-0.31%"
"05/10/2023","122.680","122.400","123.160","122.020","1.27M","0.07%"
"05/09/2023","122.600","122.980","123.100","122.060","1.15M","-0.33%"
"05/08/2023","123.000","122.320","123.760","122.240","1.15M","0.67%"
"05/05/2023","122.180","122.720","123.040","121.400","1.55M","0.21%"
"05/04/2023","121.920","123.280","123.460","120.960","1.85M","-1.17%"
"05/03/2023","123.360","122.880","123.920","122.480","1.38M","1.15%"
"05/02/2023","121.960","122.680","123.780","121.740","1.52M","-0.73%"
"04/28/2023","122.860","123.800","124.600","122.460","1.91M","-0.61%"
"04/27/2023","123.620","121.320","123.720","120.960","1.67M","1.58%"
"04/26/2023","121.700","121.980","123.160","121.520","1.92M","-0.72%"
"04/25/2023","122.580","121.740","123.120","121.360","2.19M","2.25%"
"04/24/2023","119.880","120.520","121.280","119.320","1.85M","-1.46%"
"04/21/2023","121.660","114.220","122.680","113.100","4.67M","5.24%"
"04/20/2023","115.600","115.720","116.220","114.860","2.11M","-0.36%"
"04/19/2023","116.020","115.780","116.980","115.580","1.37M","-0.60%"
"04/18/2023","116.720","115.980","117.340","115.260","1.33M","0.31%"
"04/17/2023","116.360","116.080","116.900","115.760","961.27K","0.34%"
"04/14/2023","115.960","116.480","117.260","115.600","1.38M","0.00%"
"04/13/2023","115.960","115.920","116.240","114.480","1.53M","-0.57%"
"04/12/2023","116.620","115.800","117.560","115.560","1.31M","0.47%"
"04/11/2023","116.080","117.000","117.260","115.480","1.51M","-0.79%"
"04/06/2023","117.000","115.960","117.820","115.800","1.56M","0.64%"
"04/05/2023","116.260","116.600","117.680","116.240","1.27M","-0.07%"
"04/04/2023","116.340","115.640","116.880","115.240","1.49M","0.64%"
"04/03/2023","115.600","116.240","116.500","115.340","1.16M","-0.40%"
"03/31/2023","116.060","115.260","116.440","115.260","2.10M","0.61%"
"03/30/2023","115.360","114.940","115.540","114.620","1.35M","0.66%"
"03/29/2023","114.600","114.360","114.600","113.480","1.57M","0.76%"
"03/28/2023","113.740","114.360","114.760","113.480","858.49K","-0.54%"
"03/27/2023","114.360","114.600","115.260","114.060","1.26M","0.33%"
"03/24/2023","113.980","114.760","115.400","113.300","2.01M","-0.61%"
"03/23/2023","114.680","113.800","115.060","113.120","1.61M","0.79%"
"03/22/2023","113.780","114.000","114.280","113.480","1.24M","-0.05%"
"03/21/2023","113.840","113.100","114.140","112.620","1.53M","0.80%"
"03/20/2023","112.940","111.540","113.780","110.380","1.97M","1.22%"
"03/17/2023","111.580","113.500","114.380","111.000","5.40M","-0.94%"
"03/16/2023","112.640","109.560","112.920","108.500","2.81M","3.93%"
"03/15/2023","108.380","109.260","109.600","107.040","2.88M","-1.53%"
"03/14/2023","110.060","107.940","110.540","107.920","1.78M","2.65%"
"03/13/2023","107.220","110.760","111.220","106.280","2.77M","-2.95%"
"03/10/2023","110.480","109.500","111.280","109.420","1.52M","-0.86%"
"03/09/2023","111.440","110.440","111.940","109.520","1.03M","0.54%"
"03/08/2023","110.840","110.240","111.280","110.100","1.36M","0.05%"
"03/07/2023","110.780","112.000","112.480","110.760","1.23M","-1.05%"
"03/06/2023","111.960","109.960","113.440","109.760","2.21M","2.36%"
"03/03/2023","109.380","107.860","109.840","107.840","1.82M","2.01%"
"03/02/2023","107.220","106.140","107.500","105.420","1.43M","0.56%"
"03/01/2023","106.620","107.780","108.380","106.260","1.24M","-0.80%"
"02/28/2023","107.480","108.160","108.180","107.320","1.73M","-0.83%"
"02/27/2023","108.380","107.800","109.120","107.620","1.25M","1.37%"
"02/24/2023","106.920","108.960","109.720","106.920","5.34M","-1.73%"
"02/23/2023","108.800","109.220","110.160","108.720","1.02M","0.07%"
